date,country,lat,long,type,cases,uid,iso2,iso3,code3,combined_key,population,continent_name,continent_code
1/22/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
1/23/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
1/24/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
1/25/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
1/26/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
1/27/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
1/28/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
1/29/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
1/30/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
1/31/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/1/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/2/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/3/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/4/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/5/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/6/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/7/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/8/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/9/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/10/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/11/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/12/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/13/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/14/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/15/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/16/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/17/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/18/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/19/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/20/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/21/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/22/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/23/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/24/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/25/2020,Algeria,28.0339,1.6596,confirmed,1,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/26/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/27/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/28/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
2/29/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/1/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/2/2020,Algeria,28.0339,1.6596,confirmed,2,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/3/2020,Algeria,28.0339,1.6596,confirmed,2,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/4/2020,Algeria,28.0339,1.6596,confirmed,7,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/5/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/6/2020,Algeria,28.0339,1.6596,confirmed,5,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/7/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/8/2020,Algeria,28.0339,1.6596,confirmed,2,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/9/2020,Algeria,28.0339,1.6596,confirmed,1,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/10/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/11/2020,Algeria,28.0339,1.6596,confirmed,0,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/12/2020,Algeria,28.0339,1.6596,confirmed,4,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/13/2020,Algeria,28.0339,1.6596,confirmed,2,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/14/2020,Algeria,28.0339,1.6596,confirmed,11,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/15/2020,Algeria,28.0339,1.6596,confirmed,11,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/16/2020,Algeria,28.0339,1.6596,confirmed,6,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/17/2020,Algeria,28.0339,1.6596,confirmed,6,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/18/2020,Algeria,28.0339,1.6596,confirmed,14,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/19/2020,Algeria,28.0339,1.6596,confirmed,13,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/20/2020,Algeria,28.0339,1.6596,confirmed,3,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/21/2020,Algeria,28.0339,1.6596,confirmed,49,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/22/2020,Algeria,28.0339,1.6596,confirmed,62,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/23/2020,Algeria,28.0339,1.6596,confirmed,29,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/24/2020,Algeria,28.0339,1.6596,confirmed,34,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/25/2020,Algeria,28.0339,1.6596,confirmed,38,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/26/2020,Algeria,28.0339,1.6596,confirmed,65,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/27/2020,Algeria,28.0339,1.6596,confirmed,42,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/28/2020,Algeria,28.0339,1.6596,confirmed,45,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/29/2020,Algeria,28.0339,1.6596,confirmed,57,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/30/2020,Algeria,28.0339,1.6596,confirmed,73,12,DZ,DZA,12,Algeria,43851043,Africa,AF
3/31/2020,Algeria,28.0339,1.6596,confirmed,132,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/1/2020,Algeria,28.0339,1.6596,confirmed,131,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/2/2020,Algeria,28.0339,1.6596,confirmed,139,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/3/2020,Algeria,28.0339,1.6596,confirmed,185,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/4/2020,Algeria,28.0339,1.6596,confirmed,80,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/5/2020,Algeria,28.0339,1.6596,confirmed,69,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/6/2020,Algeria,28.0339,1.6596,confirmed,103,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/7/2020,Algeria,28.0339,1.6596,confirmed,45,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/8/2020,Algeria,28.0339,1.6596,confirmed,104,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/9/2020,Algeria,28.0339,1.6596,confirmed,94,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/10/2020,Algeria,28.0339,1.6596,confirmed,95,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/11/2020,Algeria,28.0339,1.6596,confirmed,64,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/12/2020,Algeria,28.0339,1.6596,confirmed,89,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/13/2020,Algeria,28.0339,1.6596,confirmed,69,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/14/2020,Algeria,28.0339,1.6596,confirmed,87,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/15/2020,Algeria,28.0339,1.6596,confirmed,90,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/16/2020,Algeria,28.0339,1.6596,confirmed,108,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/17/2020,Algeria,28.0339,1.6596,confirmed,150,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/18/2020,Algeria,28.0339,1.6596,confirmed,116,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/19/2020,Algeria,28.0339,1.6596,confirmed,95,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/20/2020,Algeria,28.0339,1.6596,confirmed,89,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/21/2020,Algeria,28.0339,1.6596,confirmed,93,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/22/2020,Algeria,28.0339,1.6596,confirmed,99,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/23/2020,Algeria,28.0339,1.6596,confirmed,97,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/24/2020,Algeria,28.0339,1.6596,confirmed,120,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/25/2020,Algeria,28.0339,1.6596,confirmed,129,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/26/2020,Algeria,28.0339,1.6596,confirmed,126,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/27/2020,Algeria,28.0339,1.6596,confirmed,135,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/28/2020,Algeria,28.0339,1.6596,confirmed,132,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/29/2020,Algeria,28.0339,1.6596,confirmed,199,12,DZ,DZA,12,Algeria,43851043,Africa,AF
4/30/2020,Algeria,28.0339,1.6596,confirmed,158,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/1/2020,Algeria,28.0339,1.6596,confirmed,148,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/2/2020,Algeria,28.0339,1.6596,confirmed,141,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/3/2020,Algeria,28.0339,1.6596,confirmed,179,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/4/2020,Algeria,28.0339,1.6596,confirmed,174,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/5/2020,Algeria,28.0339,1.6596,confirmed,190,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/6/2020,Algeria,28.0339,1.6596,confirmed,159,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/7/2020,Algeria,28.0339,1.6596,confirmed,185,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/8/2020,Algeria,28.0339,1.6596,confirmed,187,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/9/2020,Algeria,28.0339,1.6596,confirmed,189,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/10/2020,Algeria,28.0339,1.6596,confirmed,165,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/11/2020,Algeria,28.0339,1.6596,confirmed,168,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/12/2020,Algeria,28.0339,1.6596,confirmed,176,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/13/2020,Algeria,28.0339,1.6596,confirmed,186,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/14/2020,Algeria,28.0339,1.6596,confirmed,189,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/15/2020,Algeria,28.0339,1.6596,confirmed,187,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/16/2020,Algeria,28.0339,1.6596,confirmed,192,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/17/2020,Algeria,28.0339,1.6596,confirmed,198,12,DZ,DZA,12,Algeria,43851043,Africa,AF
5/18/2020,Algeria,28.0339,1.6596,confirmed,182,12,DZ,DZA,12,Algeria,43851043,Africa,AF
